hand_type,score_lower_bound,score_upper_bound,score_probability
elder,0,10,0.0977
elder,10,20,0.1743
elder,20,30,0.2867
elder,30,40,0.2105
elder,40,50,0.0902
elder,50,60,0.0076
elder,60,70,0.0166
elder,70,80,0.0664
elder,80,90,0.0106
elder,90,100,0.0020
elder,100,110,0.0088
elder,110,120,0.0210
elder,120,130,0.004
elder,130,140,0.0002
elder,140,150,0.0018
elder,150,1000,0.0016
younger,0,1,0.0102
younger,1,10,0.3454
younger,10,20,0.2560
younger,20,30,0.2317
younger,30,40,0.0944
younger,40,50,0.0423
younger,50,60,0.0035
younger,60,70,0.0013
younger,70,80,0.0021
younger,80,90,0.0005
younger,90,100,0.0028
younger,100,110,0.0052
younger,110,120,0.0038
younger,120,130,0.0007
younger,130,140,0
younger,140,150,0
younger,150,1000,0.0001
