hand_type,score,score_strength
elder,0,0
elder,10,0.0977
elder,20,0.18485
elder,30,0.41535
elder,40,0.66395
elder,50,0.8143
elder,60,0.8632
elder,70,0.8753
elder,80,0.9168
elder,90,0.9553
elder,100,0.9616
elder,110,0.967
elder,120,0.9819
elder,130,0.9944
elder,140,0.9965
elder,150,0.9975
elder,1000,0.9992
younger,0,0
younger,1,0.0051
younger,10,0.1829
younger,20,0.4836
younger,30,0.72745
younger,40,0.8905
younger,50,0.95885
younger,60,0.98175
younger,70,0.98415
younger,80,0.98585
younger,90,0.98715
younger,100,0.9888
younger,110,0.9928
younger,120,0.9973
younger,130,0.99955
younger,140,0.9999
younger,150,0.9999
younger,1000,0.99995
