time_resource,no_of_simulations
0.1,33
0.1,34
0.1,56
0.1,53
0.1,68
0.1,71
0.1,76
0.1,58
0.1,58
0.1,76
0.1,77
0.1,77
0.1,73
0.1,82
0.1,81
0.1,89
0.1,93
0.1,94
0.1,39
0.1,40
0.1,65
0.1,70
0.1,67
0.1,75
0.1,78
0.1,84
0.1,84
0.1,79
0.1,85
0.1,86
0.1,89
0.1,83
0.1,83
0.1,34
0.1,33
0.1,62
0.1,58
0.1,65
0.1,65
0.1,77
0.1,73
0.1,69
0.1,77
0.1,68
0.1,80
0.1,81
0.1,76
0.1,77
0.1,81
0.1,92
0.1,94
0.1,38
0.1,38
0.1,65
0.1,68
0.1,67
0.1,76
0.1,81
0.1,80
0.1,80
0.1,82
0.1,81
0.1,81
0.1,83
0.1,94
0.1,96
0.1,33
0.1,30
0.1,64
0.1,65
0.1,73
0.1,71
0.1,71
0.1,60
0.1,71
0.1,81
0.1,79
0.1,73
0.1,82
0.1,90
0.1,90
0.1,88
0.1,81
0.1,93
0.1,40
0.1,39
0.1,66
0.1,70
0.1,70
0.1,75
0.1,82
0.1,79
0.1,85
0.1,80
0.1,81
0.1,90
0.1,94
0.1,93
0.1,102
0.1,34
0.1,33
0.1,60
0.1,55
0.1,63
0.1,78
0.1,70
0.1,69
0.1,76
0.1,74
0.1,84
0.1,87
0.1,85
0.1,83
0.1,88
0.1,89
0.1,94
0.1,96
0.1,39
0.1,35
0.1,58
0.1,70
0.1,71
0.1,80
0.1,74
0.1,82
0.1,86
0.1,82
0.1,84
0.1,85
0.1,89
0.1,86
0.1,95
0.1,33
0.1,33
0.1,67
0.1,71
0.1,62
0.1,74
0.1,78
0.1,76
0.1,77
0.1,74
0.1,84
0.1,77
0.1,79
0.1,88
0.1,74
0.1,86
0.1,92
0.1,98
0.1,39
0.1,40
0.1,68
0.1,67
0.1,70
0.1,81
0.1,81
0.1,86
0.1,86
0.1,89
0.1,83
0.1,86
0.1,93
0.1,86
0.1,93
0.1,29
0.1,33
0.1,60
0.1,62
0.1,70
0.1,69
0.1,78
0.1,81
0.1,77
0.1,81
0.1,84
0.1,87
0.1,87
0.1,85
0.1,90
0.1,83
0.1,95
0.1,96
0.1,35
0.1,38
0.1,70
0.1,76
0.1,80
0.1,78
0.1,76
0.1,78
0.1,87
0.1,91
0.1,88
0.1,92
0.1,88
0.1,94
0.1,99
0.2,59
0.2,56
0.2,129
0.2,131
0.2,138
0.2,133
0.2,138
0.2,141
0.2,145
0.2,159
0.2,148
0.2,152
0.2,168
0.2,160
0.2,174
0.2,179
0.2,157
0.2,196
0.2,70
0.2,66
0.2,138
0.2,152
0.2,145
0.2,157
0.2,160
0.2,166
0.2,171
0.2,175
0.2,178
0.2,180
0.2,181
0.2,195
0.2,199
0.2,58
0.2,60
0.2,131
0.2,134
0.2,143
0.2,145
0.2,145
0.2,140
0.2,148
0.2,156
0.2,153
0.2,162
0.2,164
0.2,176
0.2,178
0.2,176
0.2,167
0.2,189
0.2,67
0.2,68
0.2,126
0.2,134
0.2,144
0.2,148
0.2,151
0.2,156
0.2,160
0.2,169
0.2,168
0.2,175
0.2,176
0.2,176
0.2,185
0.2,55
0.2,58
0.2,131
0.2,127
0.2,125
0.2,136
0.2,132
0.2,142
0.2,150
